FIPS,State,County,% Rural
1001,Alabama,Autauga,42
1003,Alabama,Baldwin,42.3
1005,Alabama,Barbour,67.8
1007,Alabama,Bibb,68.4
1009,Alabama,Blount,90
1011,Alabama,Bullock,51.4
1013,Alabama,Butler,71.2
1015,Alabama,Calhoun,33.7
1017,Alabama,Chambers,49.1
1019,Alabama,Cherokee,85.7
1021,Alabama,Chilton,86.7
1023,Alabama,Choctaw,100
1025,Alabama,Clarke,76
1027,Alabama,Clay,100
1029,Alabama,Cleburne,100
1031,Alabama,Coffee,47.2
1033,Alabama,Colbert,43.9
1035,Alabama,Conecuh,80.9
1037,Alabama,Coosa,100
1039,Alabama,Covington,69.7
1041,Alabama,Crenshaw,100
1043,Alabama,Cullman,73.2
1045,Alabama,Dale,50.9
1047,Alabama,Dallas,45.6
1049,Alabama,DeKalb,90.1
1051,Alabama,Elmore,54.2
1053,Alabama,Escambia,63.5
1055,Alabama,Etowah,37.5
1057,Alabama,Fayette,80.2
1059,Alabama,Franklin,70.4
1061,Alabama,Geneva,89.6
1063,Alabama,Greene,100
1065,Alabama,Hale,89.2
1067,Alabama,Henry,87.8
1069,Alabama,Houston,33.8
1071,Alabama,Jackson,77
1073,Alabama,Jefferson,9.8
1075,Alabama,Lamar,100
1077,Alabama,Lauderdale,49.3
1079,Alabama,Lawrence,91.3
1081,Alabama,Lee,27.4
1083,Alabama,Limestone,57.6
1085,Alabama,Lowndes,100
1087,Alabama,Macon,55.5
1089,Alabama,Madison,16.4
1091,Alabama,Marengo,69.3
1093,Alabama,Marion,88.9
1095,Alabama,Marshall,53.3
1097,Alabama,Mobile,20
1099,Alabama,Monroe,79
1101,Alabama,Montgomery,10.5
1103,Alabama,Morgan,38.6
1105,Alabama,Perry,100
1107,Alabama,Pickens,100
1109,Alabama,Pike,51.7
1111,Alabama,Randolph,81.3
1113,Alabama,Russell,35.4
1115,Alabama,St. Clair,72.8
1117,Alabama,Shelby,22.9
1119,Alabama,Sumter,100
1121,Alabama,Talladega,55.8
1123,Alabama,Tallapoosa,74.2
1125,Alabama,Tuscaloosa,25.5
1127,Alabama,Walker,74.1
1129,Alabama,Washington,100
1131,Alabama,Wilcox,100
1133,Alabama,Winston,84.9
2013,Alaska,Aleutians East,100
2016,Alaska,Aleutians West,100
2020,Alaska,Anchorage,4.1
2050,Alaska,Bethel,73.9
2060,Alaska,Bristol Bay,100
2068,Alaska,Denali,100
2070,Alaska,Dillingham,100
2090,Alaska,Fairbanks North Star,30.9
2100,Alaska,Haines,100
2105,Alaska,Hoonah-Angoon,
2110,Alaska,Juneau,21.5
2122,Alaska,Kenai Peninsula,79.3
2130,Alaska,Ketchikan Gateway,23.2
2150,Alaska,Kodiak Island,31.3
2158,Alaska,Kusilvak,
2164,Alaska,Lake and Peninsula,100
2170,Alaska,Matanuska-Susitna,50.3
2180,Alaska,Nome,66.1
2185,Alaska,North Slope,59.3
2188,Alaska,Northwest Arctic,57.5
2195,Alaska,Petersburg,
2198,Alaska,Prince of Wales-Hyder,
2220,Alaska,Sitka,20.9
2230,Alaska,Skagway,
2240,Alaska,Southeast Fairbanks,100
2261,Alaska,Valdez-Cordova,100
2275,Alaska,Wrangell,
2282,Alaska,Yakutat,100
2290,Alaska,Yukon-Koyukuk,100
4001,Arizona,Apache,74.1
4003,Arizona,Cochise,36.3
4005,Arizona,Coconino,31.5
4007,Arizona,Gila,41.1
4009,Arizona,Graham,46.4
4011,Arizona,Greenlee,46.6
4012,Arizona,La Paz,56.3
4013,Arizona,Maricopa,2.4
4015,Arizona,Mohave,23
4017,Arizona,Navajo,54.1
4019,Arizona,Pima,7.5
4021,Arizona,Pinal,21.9
4023,Arizona,Santa Cruz,26.9
4025,Arizona,Yavapai,33.2
4027,Arizona,Yuma,10.4
5001,Arkansas,Arkansas,34.7
5003,Arkansas,Ashley,51.7
5005,Arkansas,Baxter,65.8
5007,Arkansas,Benton,25.2
5009,Arkansas,Boone,62.2
5011,Arkansas,Bradley,49.6
5013,Arkansas,Calhoun,100
5015,Arkansas,Carroll,72.8
5017,Arkansas,Chicot,54.3
5019,Arkansas,Clark,54.4
5021,Arkansas,Clay,58.9
5023,Arkansas,Cleburne,75.5
5025,Arkansas,Cleveland,100
5027,Arkansas,Columbia,57.5
5029,Arkansas,Conway,70.5
5031,Arkansas,Craighead,32.2
5033,Arkansas,Crawford,52
5035,Arkansas,Crittenden,20.9
5037,Arkansas,Cross,56.8
5039,Arkansas,Dallas,52.6
5041,Arkansas,Desha,31.4
5043,Arkansas,Drew,48.6
5045,Arkansas,Faulkner,38.8
5047,Arkansas,Franklin,82.6
5049,Arkansas,Fulton,92.9
5051,Arkansas,Garland,36.9
5053,Arkansas,Grant,75
5055,Arkansas,Greene,41.5
5057,Arkansas,Hempstead,55.8
5059,Arkansas,Hot Spring,66
5061,Arkansas,Howard,67.5
5063,Arkansas,Independence,68.6
5065,Arkansas,Izard,100
5067,Arkansas,Jackson,65.1
5069,Arkansas,Jefferson,30.9
5071,Arkansas,Johnson,71.4
5073,Arkansas,Lafayette,100
5075,Arkansas,Lawrence,63.6
5077,Arkansas,Lee,63.5
5079,Arkansas,Lincoln,100
5081,Arkansas,Little River,68.5
5083,Arkansas,Logan,71
5085,Arkansas,Lonoke,44.8
5087,Arkansas,Madison,100
5089,Arkansas,Marion,100
5091,Arkansas,Miller,40
5093,Arkansas,Mississippi,36.3
5095,Arkansas,Monroe,69
5097,Arkansas,Montgomery,100
5099,Arkansas,Nevada,69.2
5101,Arkansas,Newton,100
5103,Arkansas,Ouachita,56.4
5105,Arkansas,Perry,100
5107,Arkansas,Phillips,48
5109,Arkansas,Pike,100
5111,Arkansas,Poinsett,71.1
5113,Arkansas,Polk,73.4
5115,Arkansas,Pope,54.5
5117,Arkansas,Prairie,100
5119,Arkansas,Pulaski,12.3
5121,Arkansas,Randolph,67.4
5123,Arkansas,St. Francis,51.6
5125,Arkansas,Saline,36.2
5127,Arkansas,Scott,70.4
5129,Arkansas,Searcy,100
5131,Arkansas,Sebastian,20.8
5133,Arkansas,Sevier,63.6
5135,Arkansas,Sharp,80.1
5137,Arkansas,Stone,100
5139,Arkansas,Union,54.5
5141,Arkansas,Van Buren,100
5143,Arkansas,Washington,25.5
5145,Arkansas,White,54.3
5147,Arkansas,Woodruff,100
5149,Arkansas,Yell,79.1
6001,California,Alameda,0.4
6003,California,Alpine,100
