FIPS,State,County,Years of Potential Life Lost Rate,95% CI - Low,95% CI - High,Quartile,Years of Potential Life Lost Rate (Black),Years of Potential Life Lost Rate (Hispanic),Years of Potential Life Lost Rate (White),% Fair/Poor,95% CI - Low,95% CI - High,Quartile,Physically Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Mentally Unhealthy Days,95% CI - Low,95% CI - High,Quartile,Unreliable,% LBW,95% CI - Low,95% CI - High,Quartile,% LBW (Black),% LBW (Hispanic),% LBW (White),% Smokers,95% CI - Low,95% CI - High,Quartile,% Obese,95% CI - Low,95% CI - High,Quartile,Food Environment Index,Quartile,% Physically Inactive,95% CI - Low,95% CI - High,Quartile,% With Access,Quartile,% Excessive Drinking,95% CI - Low,95% CI - High,Quartile,# Alcohol-Impaired Driving Deaths,# Driving Deaths,% Alcohol-Impaired,95% CI - Low,95% CI - High,Quartile,# Chlamydia Cases,Chlamydia Rate,Quartile,Teen Birth Rate,95% CI - Low,95% CI - High,Quartile,Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),# Uninsured,% Uninsured,95% CI - Low,95% CI - High,Quartile,# Primary Care Physicians,PCP Rate,PCP Ratio,Quartile,# Dentists,Dentist Rate,Dentist Ratio,Quartile,# Mental Health Providers,MHP Rate,MHP Ratio,Quartile,# Medicare Enrollees,Preventable Hosp. Rate,95% CI - Low,95% CI - High,Quartile,# Diabetics,% Receiving HbA1c,95% CI - Low,95% CI - High,Quartile,% Receiving HbA1c (Black),% Receiving HbA1c (White),# Medicare Enrollees,% Mammography,95% CI - Low,95% CI - High,Quartile,% Mammography (Black),% Mammography (White),Error Flag,Cohort Size,Graduation Rate,Quartile,# Some College,Population,% Some College,95% CI - Low,95% CI - High,Quartile,# Unemployed,Labor Force,% Unemployed,Quartile,% Children in Poverty,95% CI - Low,95% CI - High,Quartile,% Children in Poverty (Black),% Children in Poverty (Hispanic),% Children in Poverty (White),80th Percentile Income,20th Percentile Income,Income Ratio,Quartile,# Single-Parent Households,# Households,% Single-Parent Households,95% CI - Low,95% CI - High,Quartile,# Associations,Association Rate,Quartile,# Violent Crimes,Violent Crime Rate,Quartile,# Injury Deaths,Injury Death Rate,95% CI - Low,95% CI - High,Quartile,Average Daily PM2.5,Quartile,Presence of violation,Quartile,# Households with Severe Problems,% Severe Housing Problems,95% CI - Low,95% CI - High,Quartile,% Drive Alone,95% CI - Low,95% CI - High,Quartile,% Drive Alone (Black),% Drive Alone (Hispanic),% Drive Alone (White),# Workers who Drive Alone,% Long Commute - Drives Alone,95% CI - Low,95% CI - High,Quartile,
01001,Alabama,Autauga,9409,8492,10326,2,11806,,9148,18,18,19,1,4.2,4.0,4.4,1,4.3,4.1,4.5,1,,9,8,9,1,13,,7,19,18,20,1,36,31,42,2,7.1,2,31,26,36,3,71,1,17,16,18,4,15,56,27,20,34,3,189,341,2,28,25,31,1,32,38,27,4431,9,8,11,1,25,45,2214:1,2,18,32,3079:1,2,7,13,7917:1,3,3834,82,73,91,4,711,84,77,91,3,74,86,453,62.7,55.4,70.0,2,58.3,63.2,,706,90,3,8867,14315,61.9,56.3,67.6,1,1352,25649,5.3,1,19,15,24,1,28,17,14,101520,23134,4.4,1,3368,13763,24,20,29,1,77,13.9,2,145,266,2,201,73,63,83,2,10.8,3,No,1,3090,15,13,18,3,87,85,88,4,82,,83,21082,41,37,45,3,
01003,Alabama,Baldwin,7468,7026,7909,1,10336,2827,7484,18,18,19,1,4.1,3.9,4.3,1,4.2,4.1,4.4,1,,8,8,9,1,14,5,8,17,16,17,1,29,27,32,1,7.9,1,25,22,27,1,69,1,17,16,17,4,48,158,30,26,34,3,678,339,1,32,30,34,1,39,58,29,18751,12,10,13,1,148,73,1376:1,1,103,49,2025:1,1,186,89,1121:1,1,18797,46,43,49,1,2615,83,80,87,3,82,83,2186,66.0,62.6,69.4,1,65.8,66.0,,2236,85,4,30196,47361,63.8,60.1,67.4,1,4870,89931,5.4,1,18,13,22,1,41,10,15,102624,22306,4.6,1,11348,43965,26,22,29,1,225,11.0,3,415,217,1,714,71,66,77,2,9.6,1,No,1,10455,14,13,16,2,85,83,86,2,86,69,85,73058,40,38,43,3,
01005,Alabama,Barbour,8929,7634,10225,1,9141,,8896,26,25,26,4,5.1,4.9,5.2,4,4.6,4.5,4.8,2,,12,10,13,3,16,5,8,22,21,22,3,44,39,50,4,5.5,4,31,26,36,2,53,2,13,12,13,1,10,28,36,26,45,4,150,558,3,50,44,56,4,51,82,45,2482,13,12,15,3,11,42,2408:1,3,9,35,2885:1,2,2,8,12983:1,4,2433,58,49,68,1,525,89,81,97,1,90,89,330,63.0,54.5,71.6,2,53.4,68.4,,245,86,4,2760,6948,39.7,34.7,44.8,4,718,8302,8.6,4,40,29,50,4,66,65,11,74150,12650,5.9,4,3212,5705,56,50,62,4,21,7.9,4,85,329,2,89,67,54,82,1,10.1,2,No,1,1395,15,13,18,3,83,80,86,1,80,,86,7271,35,30,40,2,
01007,Alabama,Bibb,11742,10058,13426,4,11297,,11923,20,19,21,1,4.4,4.2,4.6,1,4.3,4.1,4.5,1,,11,10,13,3,19,,9,20,19,21,2,38,32,45,3,7.6,2,38,32,43,4,49,2,16,15,17,4,8,29,28,18,38,3,68,302,1,47,41,54,4,35,,51,2027,12,10,14,2,12,53,1882:1,2,5,22,4529:1,3,2,9,11322:1,4,1460,93,77,109,4,333,82,72,92,4,73,83,199,61.3,50.4,72.2,2,45.2,64.3,,262,85,4,3068,6158,49.8,41.8,57.9,3,569,8573,6.6,3,28,20,35,2,48,,20,79882,18893,4.2,1,1479,4706,31,20,43,1,24,10.6,3,33,147,1,108,96,78,114,4,10.5,3,No,1,875,12,9,16,1,85,80,90,2,,,,7044,49,41,57,4,
01009,Alabama,Blount,9359,8463,10255,1,,5133,9601,21,20,22,2,4.5,4.3,4.7,2,4.7,4.5,4.9,2,,8,7,9,1,14,7,8,20,19,20,2,36,31,41,2,8.5,1,29,24,35,1,32,4,15,15,16,3,11,55,20,13,27,1,66,114,1,40,36,43,2,47,37,40,6609,14,12,16,4,12,21,4806:1,4,11,19,5246:1,3,5,9,11541:1,4,4188,58,50,65,1,705,88,81,95,1,,,433,59.6,52.3,66.9,3,,,,720,91,2,7551,14018,53.9,49.0,58.8,2,1354,24525,5.5,1,19,14,25,1,15,57,21,83944,20634,4.1,1,3691,13523,27,22,33,1,51,8.8,4,123,212,1,302,105,93,116,4,11.3,4,No,1,2315,11,9,13,1,86,85,88,3,,80,82,18384,60,56,65,4,
01011,Alabama,Bullock,12343,9818,14868,4,14094,,11158,29,29,30,4,5.2,5.0,5.4,4,4.8,4.6,5.0,3,,15,13,17,4,17,7,,23,23,24,4,40,32,49,4,4.5,4,30,24,37,2,22,4,13,12,13,1,16,24,67,59,73,4,79,734,4,66,55,77,4,66,113,42,1080,15,13,16,4,3,28,3565:1,4,2,19,5181:1,3,1,10,10362:1,4,890,67,51,83,3,212,86,73,98,2,85,88,110,60.0,45.5,74.5,2,61.0,57.1,,121,88,3,969,2874,33.7,23.3,44.2,4,345,4811,7.2,3,46,33,59,4,,,,63780,10548,6.0,4,1632,2269,72,60,84,4,10,9.3,4,32,302,2,58,110,83,142,4,9.8,2,No,1,675,18,12,24,4,76,71,81,1,76,,79,3184,38,26,49,3,
01013,Alabama,Butler,12779,10877,14681,4,15168,,11226,27,26,27,4,5.1,4.9,5.3,4,5.1,4.9,5.3,4,,12,10,13,3,13,,10,22,21,23,4,36,30,42,2,6.5,3,34,28,40,4,46,3,13,13,14,1,11,40,28,19,36,3,168,828,4,43,37,50,3,41,,47,1998,12,11,14,2,7,35,2879:1,3,6,30,3333:1,2,5,25,4000:1,3,2338,93,81,105,4,539,81,73,88,4,79,82,271,62.4,53.0,71.8,2,57.6,64.5,,235,83,4,2060,4879,42.2,36.5,47.9,4,651,9132,7.1,3,37,28,45,4,54,,21,73025,14452,5.1,3,2392,4699,51,43,59,4,22,10.9,3,106,523,4,98,97,79,118,4,9.4,1,No,1,1225,15,12,17,3,85,81,89,2,89,,88,6544,32,27,36,2,
01015,Alabama,Calhoun,11528,10818,12237,3,13353,5819,11430,20,19,20,1,4.3,4.1,4.4,1,4.5,4.3,4.6,1,,9,8,9,1,13,5,7,20,20,21,2,36,33,40,2,6.8,3,33,29,36,3,48,3,15,15,16,3,16,70,23,17,29,2,681,588,3,40,37,42,2,44,40,38,10764,11,10,13,1,75,65,1542:1,1,69,60,1661:1,1,108,94,1061:1,1,12611,73,68,78,3,2488,81,78,85,4,79,82,1559,56.9,53.2,60.6,4,59.8,56.5,,1316,92,2,16341,28798,56.7,53.0,60.4,1,3067,45794,6.7,3,26,20,31,2,60,30,18,82414,16952,4.9,2,9736,25367,38,35,42,3,162,14.0,2,673,574,4,430,74,67,81,2,11.6,4,No,1,6935,15,14,17,3,85,83,87,2,86,83,88,38921,29,27,32,1,
01017,Alabama,Chambers,10350,9157,11543,2,11019,,10091,25,25,26,4,5.0,4.9,5.2,4,4.9,4.8,5.1,4,,12,11,13,4,17,,8,22,21,23,4,38,32,44,3,6.1,3,33,27,39,3,63,1,14,13,14,2,11,49,22,15,30,2,270,792,4,55,50,61,4,56,,56,3662,13,12,15,3,16,47,2133:1,2,8,24,4230:1,3,1,3,33843:1,4,4010,62,55,70,2,888,82,76,88,3,79,84,512,57.2,50.7,63.8,4,58.8,56.7,,337,85,4,3720,8019,46.4,40.9,51.9,3,839,15134,5.5,1,33,23,42,3,47,,18,73783,15692,4.7,2,3423,7177,48,41,54,4,62,18.2,1,180,527,4,146,86,72,100,3,10.4,3,Yes,4,2560,18,16,21,4,88,86,90,4,89,,87,12190,33,29,36,2,
01019,Alabama,Cherokee,11683,10120,13246,4,15481,,11694,19,19,20,1,4.3,4.0,4.5,1,4.7,4.4,4.9,2,,9,7,10,1,15,,8,19,18,20,1,36,30,42,2,8.2,1,36,30,43,4,36,4,15,14,16,3,10,55,18,12,26,1,44,169,1,45,40,51,3,,,,2355,12,10,13,2,10,39,2586:1,3,4,16,6431:1,4,5,19,5145:1,3,2450,77,65,88,3,554,89,81,96,1,74,89,303,63.4,54.4,72.3,2,,,,280,88,3,3065,5516,55.6,48.4,62.7,2,582,11163,5.2,1,28,20,35,2,38,,21,79412,17112,4.6,1,1694,5255,32,25,40,2,26,10.1,3,100,384,3,146,112,94,131,4,10.8,3,No,1,1850,16,12,19,3,85,81,88,2,,,,8419,46,40,52,4,
