FIPS,State,County,Percent_Smokers,Percent_Obese,Food_Environment_Index,Percent_Access_Exercise,Primary_Care_Physician_Rate,Mental_Health_Providers_Rate,Percent_Some_College,Percent_Unemployed,Income_Inequality_Ratio,Violent_Crime_Rate,Average_Daily_Air_Polution_Particle_Matter,Percent_Long_Commute_Drives_Alone,Percent_Rural
1001,Alabama,Autauga,19.0,36.0,7.1,71.0,45.0,13.0,61.9,5.3,4.4,266.0,10.8,41.0,42.0
1003,Alabama,Baldwin,17.0,29.0,7.9,69.0,73.0,89.0,63.8,5.4,4.6,217.0,9.6,40.0,42.3
1005,Alabama,Barbour,22.0,44.0,5.5,53.0,42.0,8.0,39.7,8.6,5.9,329.0,10.1,35.0,67.8
1007,Alabama,Bibb,20.0,38.0,7.6,49.0,53.0,9.0,49.8,6.6,4.2,147.0,10.5,49.0,68.4
1009,Alabama,Blount,20.0,36.0,8.5,32.0,21.0,9.0,53.9,5.5,4.1,212.0,11.3,60.0,90.0
1011,Alabama,Bullock,23.0,40.0,4.5,22.0,28.0,10.0,33.7,7.2,6.0,302.0,9.8,38.0,51.4
1013,Alabama,Butler,22.0,36.0,6.5,46.0,35.0,25.0,42.2,7.1,5.1,523.0,9.4,32.0,71.2
1015,Alabama,Calhoun,20.0,36.0,6.8,48.0,65.0,94.0,56.7,6.7,4.9,574.0,11.6,29.0,33.7
1017,Alabama,Chambers,22.0,38.0,6.1,63.0,47.0,3.0,46.4,5.5,4.7,527.0,10.4,33.0,49.1
1019,Alabama,Cherokee,19.0,36.0,8.2,36.0,39.0,19.0,55.6,5.2,4.6,384.0,10.8,46.0,85.7
1021,Alabama,Chilton,20.0,36.0,8.2,46.0,18.0,39.0,39.1,5.6,4.9,346.0,10.5,48.0,86.7
1023,Alabama,Choctaw,19.0,40.0,6.2,27.0,38.0,,55.7,8.9,5.7,111.0,9.6,46.0,100.0
1025,Alabama,Clarke,21.0,38.0,5.2,48.0,57.0,57.0,39.0,11.1,8.8,439.0,9.6,35.0,76.0
1027,Alabama,Clay,19.0,38.0,7.8,46.0,30.0,7.0,44.2,6.2,4.4,352.0,9.9,38.0,100.0
1029,Alabama,Cleburne,20.0,35.0,8.1,46.0,27.0,40.0,46.7,6.1,4.9,150.0,10.3,50.0,100.0
1031,Alabama,Coffee,18.0,34.0,7.5,45.0,57.0,55.0,61.4,6.1,5.0,321.0,9.6,23.0,47.2
1033,Alabama,Colbert,18.0,35.0,7.2,65.0,63.0,26.0,54.1,7.0,5.0,450.0,10.2,26.0,43.9
1035,Alabama,Conecuh,23.0,38.0,5.1,37.0,39.0,65.0,38.8,8.6,5.4,566.0,9.1,39.0,80.9
1037,Alabama,Coosa,21.0,40.0,6.6,11.0,,9.0,44.4,6.1,4.2,206.0,10.2,40.0,100.0
1039,Alabama,Covington,21.0,34.0,7.4,62.0,50.0,53.0,54.0,7.0,4.7,273.0,9.2,27.0,69.7
1041,Alabama,Crenshaw,20.0,40.0,6.2,22.0,14.0,50.0,45.2,6.0,5.6,500.0,9.5,43.0,100.0
1043,Alabama,Cullman,20.0,35.0,8.2,55.0,55.0,114.0,52.3,5.1,4.5,170.0,11.3,36.0,73.2
1045,Alabama,Dale,19.0,37.0,6.7,60.0,22.0,79.0,59.6,5.9,5.2,363.0,9.8,26.0,50.9
1047,Alabama,Dallas,22.0,42.0,4.3,55.0,71.0,45.0,47.1,9.4,6.8,774.0,10.1,27.0,45.6
1049,Alabama,DeKalb,22.0,31.0,8.5,48.0,41.0,17.0,43.7,6.2,4.6,331.0,10.7,31.0,90.1
1051,Alabama,Elmore,19.0,37.0,7.6,54.0,29.0,11.0,52.4,4.9,4.3,276.0,11.1,46.0,54.2
1053,Alabama,Escambia,21.0,39.0,6.5,51.0,40.0,48.0,35.8,6.7,5.6,483.0,9.1,29.0,63.5
1055,Alabama,Etowah,23.0,37.0,7.0,44.0,82.0,93.0,52.7,6.0,4.6,544.0,11.2,28.0,37.5
1057,Alabama,Fayette,20.0,36.0,7.7,46.0,101.0,12.0,52.4,7.0,5.1,179.0,10.0,36.0,80.2
1059,Alabama,Franklin,21.0,33.0,7.9,47.0,47.0,9.0,42.1,6.1,4.6,345.0,9.9,34.0,70.4
1061,Alabama,Geneva,22.0,37.0,7.9,28.0,26.0,15.0,44.7,5.9,4.8,343.0,9.3,45.0,89.6
1063,Alabama,Greene,24.0,42.0,3.0,6.0,59.0,12.0,41.8,10.1,5.3,886.0,9.6,51.0,100.0
1065,Alabama,Hale,22.0,41.0,6.0,30.0,20.0,7.0,46.9,7.8,6.0,194.0,9.9,45.0,89.2
1067,Alabama,Henry,20.0,38.0,7.6,49.0,29.0,17.0,58.4,6.6,5.1,278.0,9.7,36.0,87.8
1069,Alabama,Houston,22.0,33.0,7.0,65.0,92.0,124.0,58.4,5.9,5.1,390.0,9.5,28.0,33.8
1071,Alabama,Jackson,22.0,37.0,7.9,47.0,55.0,42.0,43.2,6.4,4.8,361.0,10.7,38.0,77.0
1073,Alabama,Jefferson,18.0,33.0,6.1,82.0,106.0,144.0,67.4,5.9,5.5,797.0,12.9,32.0,9.8
1075,Alabama,Lamar,21.0,34.0,7.6,18.0,,14.0,52.7,5.7,4.6,162.0,9.7,37.0,100.0
1077,Alabama,Lauderdale,19.0,35.0,7.5,56.0,55.0,138.0,58.0,6.4,5.0,268.0,10.5,30.0,49.3
1079,Alabama,Lawrence,21.0,34.0,7.8,28.0,21.0,108.0,50.7,7.0,5.0,264.0,10.9,47.0,91.3
1081,Alabama,Lee,19.0,30.0,6.3,59.0,50.0,79.0,71.6,5.3,6.3,275.0,11.1,28.0,27.4
1083,Alabama,Limestone,19.0,34.0,8.1,53.0,35.0,40.0,55.4,5.3,5.2,143.0,11.7,38.0,57.6
1085,Alabama,Lowndes,22.0,46.0,4.4,5.0,10.0,,37.4,10.8,5.4,611.0,10.0,59.0,100.0
1087,Alabama,Macon,22.0,48.0,3.8,47.0,37.0,369.0,53.7,7.7,5.7,737.0,10.6,37.0,55.5
1089,Alabama,Madison,16.0,33.0,7.3,71.0,91.0,121.0,73.8,5.2,5.0,584.0,11.6,25.0,16.4
1091,Alabama,Marengo,21.0,39.0,5.4,46.0,35.0,30.0,51.0,7.4,7.2,481.0,9.8,34.0,69.3
1093,Alabama,Marion,21.0,35.0,7.8,43.0,23.0,10.0,53.3,6.7,4.9,290.0,9.8,29.0,88.9
1095,Alabama,Marshall,22.0,34.0,8.0,62.0,58.0,222.0,49.3,5.5,4.6,212.0,11.3,29.0,53.3
1097,Alabama,Mobile,19.0,36.0,6.3,73.0,68.0,78.0,60.4,6.9,5.3,550.0,10.0,35.0,20.0
1099,Alabama,Monroe,22.0,39.0,5.0,56.0,32.0,70.0,42.2,9.4,8.8,488.0,9.3,32.0,79.0
1101,Alabama,Montgomery,20.0,37.0,5.3,75.0,89.0,113.0,62.2,5.9,5.5,408.0,11.2,19.0,10.5
1103,Alabama,Morgan,20.0,32.0,7.9,61.0,53.0,128.0,53.8,5.6,4.8,192.0,11.3,37.0,38.6
1105,Alabama,Perry,23.0,44.0,5.0,53.0,31.0,31.0,48.1,10.6,5.4,,9.7,44.0,100.0
1107,Alabama,Pickens,21.0,35.0,6.8,6.0,34.0,15.0,54.1,6.9,6.3,221.0,9.9,46.0,100.0
1109,Alabama,Pike,22.0,42.0,6.1,62.0,48.0,18.0,58.5,6.4,6.3,448.0,9.7,22.0,51.7
1111,Alabama,Randolph,20.0,34.0,7.1,32.0,26.0,22.0,48.6,5.7,4.9,182.0,10.1,44.0,81.3
1113,Alabama,Russell,22.0,41.0,6.6,66.0,25.0,36.0,62.6,5.6,5.0,441.0,11.2,37.0,35.4
1115,Alabama,St. Clair,20.0,36.0,8.3,50.0,18.0,15.0,54.4,5.3,4.2,176.0,11.8,52.0,72.8
1117,Alabama,Shelby,17.0,29.0,8.6,88.0,86.0,58.0,74.5,4.4,4.2,180.0,11.4,46.0,22.9
1119,Alabama,Sumter,23.0,40.0,4.3,18.0,53.0,8.0,50.4,7.8,6.8,487.0,9.7,38.0,100.0
1121,Alabama,Talladega,21.0,41.0,6.7,68.0,32.0,11.0,47.8,6.8,4.9,369.0,11.4,34.0,55.8
1123,Alabama,Tallapoosa,21.0,37.0,7.1,68.0,44.0,22.0,45.8,5.6,5.1,478.0,10.4,33.0,74.2
1125,Alabama,Tuscaloosa,20.0,33.0,6.9,68.0,73.0,116.0,64.3,5.8,5.0,415.0,10.7,24.0,25.5
1127,Alabama,Walker,20.0,36.0,7.4,53.0,46.0,45.0,50.6,7.6,4.9,415.0,11.1,40.0,74.1
1129,Alabama,Washington,21.0,40.0,7.3,14.0,12.0,12.0,45.2,8.7,4.8,264.0,9.5,48.0,100.0
1131,Alabama,Wilcox,24.0,43.0,2.1,6.0,36.0,9.0,34.2,14.7,6.6,419.0,9.4,35.0,100.0
1133,Alabama,Winston,23.0,35.0,7.8,74.0,46.0,4.0,55.4,7.3,4.5,243.0,10.4,40.0,84.9
2013,Alaska,Aleutians East,17.0,35.0,5.0,69.0,,61.0,38.9,2.7,4.1,,,0.0,100.0
2016,Alaska,Aleutians West,15.0,41.0,7.5,90.0,18.0,89.0,50.5,3.3,3.3,292.0,,0.0,100.0
2020,Alaska,Anchorage,15.0,28.0,8.1,90.0,107.0,326.0,70.5,5.3,3.8,836.0,,14.0,4.1
2050,Alaska,Bethel,33.0,29.0,2.9,96.0,100.0,1787.0,34.0,14.1,4.8,,,1.0,73.9
2060,Alaska,Bristol Bay,20.0,39.0,6.6,59.0,0.0,0.0,60.5,6.9,3.6,67.0,,2.0,100.0
2068,Alaska,Denali,18.0,26.0,6.1,68.0,0.0,,79.8,8.6,3.5,,,22.0,100.0
2070,Alaska,Dillingham,32.0,41.0,4.6,79.0,200.0,646.0,49.6,9.7,4.7,,,3.0,100.0
2090,Alaska,Fairbanks North Star,18.0,29.0,7.8,87.0,81.0,512.0,73.6,5.7,3.7,,,15.0,30.9
2100,Alaska,Haines,17.0,25.0,7.5,100.0,316.0,280.0,73.4,9.8,3.8,194.0,,5.0,100.0
2105,Alaska,Hoonah-Angoon,22.0,32.0,3.7,,,241.0,54.7,11.5,4.1,,,4.0,
2110,Alaska,Juneau,18.0,29.0,8.2,100.0,113.0,561.0,75.7,4.4,3.2,445.0,,6.0,21.5
2122,Alaska,Kenai Peninsula,19.0,29.0,7.8,81.0,74.0,150.0,59.5,8.2,4.5,,,16.0,79.3
2130,Alaska,Ketchikan Gateway,20.0,35.0,8.0,100.0,80.0,247.0,57.7,6.2,4.0,363.0,,7.0,23.2
2150,Alaska,Kodiak Island,16.0,30.0,8.1,99.0,122.0,291.0,69.6,5.0,4.0,,,2.0,31.3
2158,Alaska,Kusilvak,43.0,28.0,2.0,,,124.0,23.2,21.3,4.1,,,1.0,
2164,Alaska,Lake and Peninsula,32.0,32.0,3.4,47.0,64.0,64.0,47.4,12.3,4.3,,,0.0,100.0
2170,Alaska,Matanuska-Susitna,19.0,31.0,7.8,63.0,43.0,116.0,59.5,8.1,4.2,,,42.0,50.3
2180,Alaska,Nome,36.0,34.0,3.3,55.0,102.0,787.0,40.4,12.5,4.7,,,0.0,66.1
2185,Alaska,North Slope,26.0,37.0,7.0,65.0,21.0,52.0,49.6,6.5,4.6,769.0,,2.0,59.3
2188,Alaska,Northwest Arctic,33.0,36.0,3.5,22.0,52.0,886.0,33.0,15.7,4.8,,,0.0,57.5
2195,Alaska,Petersburg,17.0,31.0,8.2,,157.0,349.0,59.8,8.6,5.4,,,1.0,
2198,Alaska,Prince of Wales-Hyder,23.0,34.0,6.3,,79.0,63.0,50.1,11.7,4.6,,,11.0,
2220,Alaska,Sitka,18.0,28.0,8.2,100.0,214.0,1302.0,67.1,4.3,3.6,92.0,,2.0,20.9
2230,Alaska,Skagway,16.0,29.0,8.0,,0.0,92.0,78.2,10.6,2.7,,,1.0,
2240,Alaska,Southeast Fairbanks,19.0,33.0,6.1,33.0,88.0,116.0,53.7,10.2,4.3,,,10.0,100.0
2261,Alaska,Valdez-Cordova,19.0,31.0,6.9,76.0,75.0,53.0,65.4,8.2,5.4,368.0,,6.0,100.0
2275,Alaska,Wrangell,19.0,33.0,7.4,,84.0,290.0,67.7,7.3,4.4,,,2.0,
2282,Alaska,Yakutat,22.0,31.0,5.8,100.0,0.0,166.0,60.6,8.1,3.7,,,0.0,100.0
2290,Alaska,Yukon-Koyukuk,31.0,30.0,2.1,34.0,36.0,90.0,46.9,17.2,5.6,,,9.0,100.0
4001,Arizona,Apache,22.0,34.0,1.5,23.0,29.0,85.0,48.9,11.3,6.8,116.0,5.5,39.0,74.1
4003,Arizona,Cochise,16.0,27.0,6.7,58.0,49.0,115.0,65.7,6.1,5.2,465.0,6.0,21.0,36.3
4005,Arizona,Coconino,16.0,23.0,5.9,83.0,83.0,189.0,69.3,5.9,5.3,337.0,5.5,15.0,31.5
4007,Arizona,Gila,18.0,28.0,5.9,95.0,47.0,54.0,52.1,7.2,4.3,349.0,6.4,18.0,41.1
4009,Arizona,Graham,18.0,32.0,6.1,58.0,56.0,40.0,50.2,6.7,4.7,431.0,6.4,19.0,46.4
4011,Arizona,Greenlee,15.0,30.0,5.5,53.0,42.0,10.0,55.0,7.6,3.8,616.0,5.8,18.0,46.6
4012,Arizona,La Paz,15.0,28.0,6.1,28.0,35.0,118.0,33.7,6.0,4.4,359.0,6.2,11.0,56.3
4013,Arizona,Maricopa,14.0,26.0,7.6,92.0,71.0,122.0,64.6,4.5,4.6,403.0,10.3,37.0,2.4
4015,Arizona,Mohave,20.0,30.0,5.4,65.0,47.0,68.0,46.2,6.6,4.1,198.0,5.9,17.0,23.0
4017,Arizona,Navajo,21.0,31.0,4.3,57.0,61.0,74.0,50.5,8.1,5.5,340.0,5.7,24.0,54.1
4019,Arizona,Pima,14.0,25.0,7.4,87.0,82.0,168.0,66.1,4.9,4.8,450.0,7.2,34.0,7.5
4021,Arizona,Pinal,15.0,33.0,7.4,76.0,17.0,71.0,54.7,5.5,4.0,206.0,10.3,52.0,21.9
4023,Arizona,Santa Cruz,16.0,24.0,8.0,64.0,39.0,33.0,54.9,9.9,4.8,111.0,6.0,26.0,26.9
4025,Arizona,Yavapai,15.0,23.0,6.6,88.0,59.0,167.0,59.6,4.9,4.1,289.0,5.9,26.0,33.2
4027,Arizona,Yuma,15.0,31.0,6.7,79.0,37.0,53.0,54.2,18.6,4.2,376.0,7.3,19.0,10.4
5001,Arkansas,Arkansas,19.0,32.0,5.5,47.0,49.0,93.0,49.6,3.5,4.7,490.0,10.4,15.0,34.7
5003,Arkansas,Ashley,20.0,42.0,5.9,47.0,34.0,73.0,53.6,6.3,5.0,286.0,10.0,18.0,51.7
5005,Arkansas,Baxter,18.0,34.0,7.5,74.0,85.0,280.0,62.1,4.3,3.7,123.0,9.3,15.0,65.8
5007,Arkansas,Benton,18.0,31.0,8.1,76.0,60.0,204.0,60.1,2.9,4.1,244.0,10.0,21.0,25.2
5009,Arkansas,Boone,20.0,38.0,6.9,63.0,73.0,97.0,58.1,3.7,4.0,371.0,9.2,21.0,62.2
5011,Arkansas,Bradley,23.0,42.0,6.5,71.0,54.0,9.0,43.7,5.2,5.8,252.0,10.0,27.0,49.6
5013,Arkansas,Calhoun,21.0,37.0,4.5,8.0,38.0,,45.8,4.7,4.8,179.0,10.0,43.0,100.0
5015,Arkansas,Carroll,19.0,34.0,8.0,50.0,65.0,80.0,45.2,3.6,4.1,243.0,9.2,23.0,72.8
5017,Arkansas,Chicot,23.0,43.0,2.6,30.0,100.0,512.0,43.2,6.6,6.3,464.0,10.1,24.0,54.3
