FIPS,Num_Per_100k
2013,2.0
2016,0.0
2020,63.7
2050,105.5
2060,
2068,58.0
2070,136.8
2090,109.3
2100,61.3
2105,65.9
2110,63.4
2122,64.6
2130,62.3
2150,36.3
2158,29.4
2164,99.5
2170,60.9
2180,70.1
2185,91.2
2188,85.5
2195,73.4
2198,72.7
2220,63.8
2230,
2240,76.2
2261,63.8
2275,59.3
2282,
2290,66.2
1001,107.0
1003,82.5
1005,96.1
1007,112.3
1009,96.1
1011,104.6
1013,116.7
1015,103.6
1017,106.7
1019,89.0
1021,100.6
1023,104.3
1025,86.5
1027,96.9
1029,89.0
1031,81.2
1033,94.0
1035,115.9
1037,97.9
1039,104.4
1041,100.3
1043,94.0
1045,76.0
1047,108.3
1049,98.9
1051,102.0
1053,104.7
1055,96.6
1057,96.6
1059,92.3
1061,81.9
1063,96.0
1065,112.9
1067,80.1
1069,75.4
1071,102.1
1073,117.9
1075,101.1
1077,91.0
1079,92.7
1081,90.9
1083,90.3
1085,112.5
1087,100.0
1089,90.3
1091,107.5
1093,99.8
1095,95.6
1097,99.6
1099,103.3
1101,105.8
1103,91.3
1105,107.8
1107,94.4
1109,97.6
1111,93.5
1113,95.6
1115,101.4
1117,99.7
1119,101.6
1121,107.7
1123,95.2
1125,98.7
1127,106.9
1129,90.5
1131,114.3
1133,95.2
5001,110.7
5003,101.1
5005,78.6
5007,63.2
5009,59.4
5011,127.9
5013,123.3
5015,66.2
5017,135.9
5019,86.2
5021,94.6
5023,78.5
5025,119.9
5027,115.1
5029,88.5
5031,85.7
5033,79.1
5035,80.1
5037,79.2
5039,104.9
5041,111.9
5043,86.4
5045,88.4
5047,85.7
5049,77.6
5051,83.2
5053,92.7
5055,87.1
5057,103.6
5059,78.8
5061,92.2
5063,72.8
5065,70.7
5067,80.3
5069,106.6
5071,100.1
5073,101.2
5075,79.7
5077,75.3
5079,89.8
5081,97.7
5083,91.9
5085,93.9
5087,37.1
5089,87.2
5091,98.8
5093,90.1
5095,90.2
5097,84.0
5099,100.1
5101,55.9
5103,108.2
5105,87.8
5107,98.9
5109,89.5
5111,80.4
5113,84.9
5115,81.8
5117,90.3
5119,88.4
5121,83.5
5123,76.3
5125,70.7
5127,94.3
5129,70.4
5131,93.4
5133,80.4
5135,73.2
5137,68.7
5139,116.0
5141,80.2
5143,23.6
5145,84.5
5147,82.6
5149,86.2
4001,72.2
4003,64.5
4005,61.3
4007,58.9
4009,67.5
4011,66.2
4012,56.1
4013,59.0
4015,68.9
4017,73.6
4019,63.4
4021,48.5
4023,64.2
4025,59.3
4027,57.8
6001,79.1
6003,83.3
6005,70.2
6007,83.1
6009,65.9
6011,77.0
6013,83.0
6015,88.6
6017,55.8
6019,83.9
6021,82.7
6023,166.6
6025,63.5
6027,75.5
6029,73.4
6031,77.7
6033,71.5
6035,73.5
6037,65.9
6039,70.6
6041,47.1
6043,74.7
6045,66.6
6047,75.7
6049,76.3
6051,61.4
6053,62.2
6055,63.6
6057,68.7
6059,73.5
6061,71.9
6063,69.3
6065,69.9
6067,83.8
6069,71.8
6071,80.0
6073,76.9
6075,64.9
6077,99.9
6079,106.5
6081,59.2
6083,63.4
6085,59.7
6087,59.6
6089,69.1
6091,74.6
6093,78.7
6095,87.6
6097,67.6
6099,80.2
6101,88.6
6103,67.2
6105,77.8
6107,85.4
6109,65.8
6111,68.3
6113,72.5
6115,87.2
8001,72.9
8003,74.5
8005,66.9
8007,72.1
8009,60.3
8011,63.7
8013,70.9
8014,73.0
8015,52.1
8017,51.1
8019,60.6
8021,70.3
8023,41.9
8025,72.4
8027,59.8
8029,74.1
8031,71.4
8033,62.5
8035,56.2
8037,26.1
8039,60.3
8041,75.7
8043,67.5
8045,62.9
8047,71.2
8049,43.3
8051,54.8
8053,70.0
8055,57.4
8057,63.4
8059,73.3
8061,66.4
8063,53.7
8065,37.2
8067,71.8
8069,68.9
8071,59.8
8073,69.0
8075,68.2
8077,72.4
8079,72.5
8081,59.3
8083,70.3
8085,51.1
8087,72.0
8089,60.7
8091,43.2
8093,48.0
8095,51.6
8097,25.7
8099,67.7
8101,65.6
8103,58.3
8105,78.8
8107,51.6
8109,60.6
8111,65.6
8113,42.9
8115,50.3
8117,30.4
8119,56.8
8121,68.8
8123,71.2
8125,50.6
9001,47.5
9003,51.9
9005,53.7
9007,51.7
9009,59.1
9011,53.0
9013,50.5
9015,55.9
11001,71.5
10001,88.1
10003,97.1
10005,75.5
12001,75.7
12003,100.4
12005,75.5
12007,85.3
12009,83.8
12011,113.1
12013,74.9
12015,52.0
12017,111.5
12019,95.0
12021,75.2
12023,80.7
12027,51.2
12029,87.8
12031,105.4
12033,99.3
12035,92.6
12037,71.9
12039,78.9
12041,80.2
12043,58.2
12045,71.2
12047,83.3
12049,97.6
12051,64.4
12053,60.9
12055,85.7
12057,56.2
12059,82.3
12061,58.2
12063,76.0
12065,79.6
12067,82.9
12069,62.6
12071,51.2
12073,77.7
12075,97.7
12077,77.0
12079,85.0
12081,48.7
12083,50.4
12085,67.9
12086,87.1
12087,75.8
12089,98.6
12091,87.3
12093,62.6
12095,97.8
12097,96.9
12099,68.9
12101,66.9
12103,56.2
12105,98.3
12107,68.6
12109,56.9
12111,70.4
12113,94.7
12115,50.8
12117,104.8
12119,52.6
12121,83.4
12123,82.1
12125,82.0
12127,93.2
12129,73.8
12131,76.5
12133,76.2
13001,94.3
13003,90.8
13005,92.3
13007,102.4
13009,83.2
13011,86.6
13013,87.6
13015,87.8
13017,89.6
13019,91.3
13021,82.4
13023,82.1
13025,82.4
13027,91.0
13029,78.9
13031,85.5
13033,88.4
13035,98.9
13037,95.7
13039,79.8
13043,86.5
13045,82.2
13047,89.4
13049,88.2
13051,77.6
13053,96.2
13055,90.9
13057,83.2
13059,91.7
13061,87.5
13063,103.2
13065,84.6
13067,98.6
13069,94.4
13071,102.1
13073,66.9
13075,95.5
13077,74.2
13079,83.0
13081,93.9
13083,94.6
13085,71.4
13087,87.3
13089,70.0
13091,87.0
13093,75.2
13095,101.2
13097,103.7
13099,75.6
13101,81.9
13103,80.0
13105,74.8
13107,91.3
13109,79.8
13111,73.4
13113,69.2
13115,85.2
13117,62.8
13119,94.0
13121,81.6
13123,79.0
13125,90.3
13127,60.7
13129,84.2
13131,81.8
13133,76.4
13135,69.1
13137,86.0
13139,78.3
13141,81.7
13143,87.1
13145,86.7
13147,78.3
13149,80.2
13151,97.3
13153,77.6
13155,99.4
13157,87.8
13159,79.4
13161,93.0
13163,89.1
13165,91.3
13167,90.8
13169,83.1
13171,94.7
13173,85.4
13175,91.7
13177,100.7
13179,74.3
13181,69.5
13183,69.7
13185,86.3
13187,77.6
13189,81.1
13191,60.7
13193,108.4
13195,90.6
13197,87.8
13199,81.7
13201,87.6
13205,100.0
13207,92.7
13209,96.7
13211,83.1
13213,87.4
13215,92.4
13217,92.8
13219,92.1
13221,89.8
13223,99.9
13225,87.6
13227,81.0
13229,93.7
13231,108.3
13233,87.9
13235,76.7
13237,74.2
13239,93.9
13241,78.1
13243,78.4
13245,87.5
13247,82.6
13249,79.9
13251,91.7
13253,76.9
13255,100.3
13257,102.2
13259,95.5
13261,105.1
13263,101.8
13265,79.9
13267,84.4
13269,115.6
13271,88.1
13273,100.1
13275,90.6
13277,101.3
13279,91.7
13281,74.2
13283,94.1
13285,94.8
13287,96.0
13289,84.0
13291,67.5
13293,160.9
13295,90.2
13297,89.0
13299,95.2
13301,91.9
13303,88.9
13305,86.5
13307,82.6
13309,91.6
13311,79.8
13313,89.9
13315,81.0
13317,80.4
13319,87.5
13321,104.8
15001,71.8
15003,71.8
15005,66.2
15007,71.8
15009,71.8
19001,60.1
19003,64.7
19005,65.4
19007,77.4
19009,57.7
19011,43.1
19013,63.9
19015,58.0
19017,67.8
19019,58.8
19021,58.9
